Context,Entity,Description,Entity Type,TS
"A Network-Controlled Repeater node, referred to as NCR-node, is an RF repeater that enables wireless amplifying-and-forwarding functionality in NG-RAN. The NCR-node is capable of receiving and applying side control information from a gNB with additional functionality to support Network-Controlled Repeater. The NCR-node comprises an NCR-MT and an NCR-Fwd. The NCR-MT is an entity supporting a subset of the UE functionality that communicates with the gNB to receive side control information via a control link based on the NR Uu interface. The NCR-Fwd is the function performing amplifying-and-forwarding of signals between gNB and UE via the NCR-Fwd backhaul link and NCR-Fwd access link, respectively. The NCR-Fwd can support multiple beams towards the UE. The behaviour of the NCR-Fwd is controlled according to the side control information received from the gNB. The NCR-node is modelled as depicted in Figure 4.9.1-1. Figure 4.9.1-1: Conceptual model of network-controlled repeater. An NCR-MT establishes SRBs and, optionally, DRB(s) with a gNB. The establishment of DRB(s) can be used to transport OAM traffic. The signal that NCR-Fwd forwards is associated to the cell that the NCR-MT is connected to via the control link. Whether the NCR-Fwd can forward other signals is up to implementation.",NCR,"A Network-Controlled Repeater (NCR) node is a type of RF repeater that enables wireless amplifying-and-forwarding functionality in Next Generation Radio Access Networks (NG-RAN). It consists of two main components: the NCR-MT and the NCR-Fwd. The NCR-MT communicates with the gNB to receive side control information via a control link based on the NR Uu interface, while the NCR-Fwd performs amplifying-and-forwarding of signals between the gNB and UE via the NCR-Fwd backhaul link and NCR-Fwd access link, respectively. The behavior of the NCR-Fwd is controlled according to the side control information received from the gNB.",Network Function,3GPP TS 38.300
"Evaluation results for resource allocation Mode 1 are summarised in this section. Where a sourcing company provided results for more than one grant type, they appear in respective rows of a table. Table 11.3.1-1: Average PRR for unicast V2V (a=nÃ20, b=(n+1)Ã20 m) Table 11.3.1-2: Average PRR for groupcast V2V (a=nÃ20, b=(n+1)Ã20 m) Table 11.3.1-3: Average PRR for broadcast V2V (a=nÃ20, b=(n+1)Ã20 m) The following observations are made from the evaluation results: - In the highway case at 320 m range, depending on the grant type and SCS, SL resource allocation Mode 1 achieves: - In the range 99.88% - 100% PRR for unicast periodic traffic and 99.73%- 100% PRR for unicast aperiodic traffic at 6 GHz. - In the range 99.69% - 100% PRR for groupcast periodic traffic and 94.85% - 99.88% PRR for groupcast with dynamic grants for aperiodic traffic at 6 GHz. Configured grant Type 1 performs within this range. - In the range 99.04% - 100% PRR for broadcast periodic traffic and 94.58% - 99.93% PRR",PRR,"Package Reception Ratio (PRR) is a network performance metric used to evaluate the reliability of data transmission in telecommunications networks, specifically in the context of V2V (Vehicle-to-Vehicle) communication.",Measurement,3GPP TS 38.885
"The Relative Code Domain Error is calculated for a wanted code according to the following steps: 1) Calculate the value ""Absolute CodeEVM"" [Volt] for the wanted code according to C., as an RMS value unifying ns = 2400 symbols corresponding to the measurement interval of one timeslot. 2) Calculate the value ""Absolute CodeDomainPower (CDP)"" [Volt2] for the wanted code according to C., with ns = 2400 symbols corresponding to the measurement interval of one timeslot. 3) Calculate RCDE according to: 4) The average RCDE across a set of wanted codes is defined as the mean of the linear RCDE values and subsequently expressed in dB.",ARQ,"Automatic Repeat Request (ARQ) is a protocol used in telecommunications to ensure reliable data transfer over unreliable communication channels. It operates by sending additional increments of redundancy, adapting to the channel conditions, and decreasing the overall coding rate to match the channel. ARQ can be combined with Forward Error Correction (FEC) methods to form Hybrid ARQ, which improves throughput and enables adaptive modulation and coding.",Protocol,TS 25.950
"Requirements in this section are stated for the free space configuration, are applicable to handheld devices, and are not applicable to wrist-worn devices. For the reference MPAC methodology and the harmonized RTS methodology defined in [7], the average TRMS of free space data mode portrait (FS DMP), free space data mode landscape (FSDML), and free space data mode screen up (FS DMSU), as defined in Annex E of TR 37.977 [7], when measured at the mid channel shall be lower than the average TRMS requirements specified in subclauses 8.1.1.1 and 8.1.1.2. The averaging shall be done in linear scale for the TRMS results at these DUT positions. Two average TRMS quantities are calculated from sensitivity measurements at 70% and 95% throughput, respectively. Average TRMS requirement are shown in the column âAverage, 70â and âAverage, 95â on the requirement tables. Where Such that MODE is one of {FS_DMP, FS_DML, FS_DMSU}, x is one of {70, 95}, and {PMODE,x,0, â¦, PMODE,x,11} are the measured",CPAC,"Conditional PSCell Addition or Change (CPAC) is a procedure in the 3GPP specification that allows for the addition or change of a Primary SCell (PSCell) under specific conditions. It involves the UE and the network interacting to configure and execute the CPAC, which can be initiated by the Mobile Node (MN) or the network. The procedure includes steps such as resource allocation, signaling flows, and maintenance of configuration after certain events like SCG release.",Procedure,TS 37.340
"still do some actions, e.g. delete/store PLMN, delete security context, etc. With this solution, all the causes other than ""PLMN not allowed"" in NAS Reject can be integrity protected, which includes redirection to LTE. Moreover, if new feature is added in NAS Reject message, it could also be covered by this solution. For CIoT UE, backward compatibility is not needed to be considered, feature negotiation is not needed. UE and network support this feature in the first release just like ABBA. UE Impact: SIM card is provisioned with a public key of UDM, which may be the same key to protect SUCI, SIM card is not impacted. ME supports DSS (e.g. FIPS 186-4) to verify integrity of NAS Reject message. RAN Impact: none VPLMN impact: vAMF supportsw generation and storage of public key pair. vAMF supports authorization procedure. vAMF supports DSS (e.g. FIPS 186-4) to sign NAS Reject message. HPLMN impact: hUDM supports to authorization procedure. hUDM supports DSS (e.g. FIPS 186-4) to sign the",FIPS,"Federal Information Processing Standard (FIPS) is a standard that defines cryptographic algorithms and techniques used in telecommunications. In this context, it's specifically mentioned in relation to the Digital Signature Scheme (DSS), which ensures the integrity of NAS Reject messages.",Specification,3GPP TS 33.861
"When calculating a PIK or PEK from PTK or KD-sess, the following parameters shall be used to form the input S to the KDF that is specified in Annex B of TS 33.220 [5]: - FC = 0x4B - P0 = 0x00 if PEK is being derived or 0x01 if PIK is being derived - L0 = length of P0 (i.e. 0x00 0x01) - P1 = algorithm identity - L1 = length of algorithm identity (i.e. 0x00 0x01) NOTE: Void. The algorithm identity shall be set as described in TS 33.401 [21]. The input key shall be the 256-bit PTK or the 256-bit KD-sess. For an algorithm key of length n bits, where n is less or equal to 256, the n least significant bits of the 256 bits of the KDF output shall be used as the algorithm key.",PIK,"The ProSe Integrity Key (PIK) is a parameter used in the calculation of keys from PTK and KD-sess, specifically for deriving integrity keys in the context of Proximity-based Services (ProSe). It is an essential component in ensuring secure communication within the network.",Parameter,3GPP TS 33.303
"The display is open at a lid angle of 110Âº Â± 5Âº, where lid angle is defined as the angle between the front of the display to the levelled base, and the full projected volume is centred inside the test volume. Table N.2-4: Test conditions and angle definitions for laptops Tables N.2-5 through N.2-7 below provides the test conditions and angle definitions for the three permitted device alignment options for Fixed Wireless Access (FWA) for the default test condition, DUT orientation 1, and two different options for each permitted device alignment to re-position the device for DUT Orientation 2 as outlined in Figures N.3-1 and N.3-2. Due to changes in DUT orientations Î±, Î², and Î³ for the alignment options for FWA proposed in Tables N.2-6 through N.2-7 when compared to those in Tables N.2-2 through N.2-3, new alignment options, i.e., Options 4 and 5, were introduced. Table N.2-5: Test conditions and angle definitions for FWA for Alignment Option 1 Table N.2-6: Test conditions and angle",FWA,"Fixed Wireless Access (FWA) is a technology that enables wireless broadband connectivity to fixed locations, such as homes or businesses, using wireless communication systems.",Technology,3GPP TS 38.521
"In tables 8.11 to 8.14 a comparison between our simulation results and those previously presented [27] for FDD mode has been made. Analysis of UL performances shows a different behavior of the TDD system when ACIR is equal to 25 dB to 30 dB in UL, both in the intermediate and in the worst case. On the contrary in DL system performances are similar and we can conclude that in this case an ACIR value close to 30 dB could be a good arrangement between system capacity and equipment realization. Differences in UL performances are due to the noise rise criterion that we think inadequate for systems that use JD technique. In fact in FDD systems the high number of users and the absence of JD imply that the total received power is almost equal to the overall disturbance. On the contrary, in TDD systems the total received power is mainly composed by intracell interference that can be eliminated by JD. Thus an high average noise rise does not imply a high outage probability in the network. An",MT,"The Mobile Terminated (MT) burst is a type of burst used in dedicated carrier MBSFN, characterized by its specific structure and parameters such as preamble length, data symbol field length, and the number of symbols per data field. It is suited for regular timeslots with a duration of 0.675ms and has a fixed preamble length of 96 chips.",Connection,TS 25.221
"Requirement Name: Charging ID Uniqueness Requirement Reference: TS 32.251 [8], clause 5.1.1 Requirement Description: ""Every IP-CAN bearer shall be assigned a unique identity number for billing purposes. (i.e. the Charging Id)"" as specified in 3GPP TS 32.251 [8], clause 5.1.1. Note: A charging ID is not assigned to more than one active IP-CAN bearers at the same time. The reuse of Charging ID is possible after an IP-CAN session has been terminated and the Charging ID related to this IP-CAN session has been released. Threat References: TR 33.926 [10], clause B.2.5.1 Failure to assign unique TEID or Charging ID for a session Test Case: Purpose: Verify that the Charging ID value set in the Information Element Bearer Context within a CreateSessionResponse is unique. Pre-Conditions: Test environment with P-GW and S-GW, PCRF. PCRF and S-GW may be real nodes or simulated. The tester is able to trace traffic between the P-GW and the S-GW (real or simulated) Execution Step 1) The tester",IP-CAN,"The IP-Connectivity Access Network (IP-CAN) provides connectivity access for IP-based services. In 3GPP TS 33.250, each IP-CAN bearer is assigned a unique Charging ID for charging and billing purposes.",Network,3GPP TS 33.250
"The carrier frequency in the uplink and downlink is designated by the E-UTRA Absolute Radio Frequency Channel Number (EARFCN) in the range 0 â 262143. The relation between EARFCN and the carrier frequency in MHz for the downlink is given by the following equation, where FDL_low and NOffs-DL are given in Table 5.7.3-1 and NDL is the downlink EARFCN. FDL = FDL_low + 0.1(NDL â NOffs-DL) The relation between EARFCN and the carrier frequency in MHz for the uplink is given by the following equation where FUL_low and NOffs-UL are given in Table 5.7.3-1 and NUL is the uplink EARFCN. FUL = FUL_low + 0.1(NUL â NOffs-UL) Table 5.7.3-1: E-UTRA channel numbers",EARFCN,"The E-UTRA Absolute Radio Frequency Channel Number (EARFCN) is a parameter used to designate the carrier frequency in both uplink and downlink within the Evolved Universal Terrestrial Radio Access Network (E-UTRAN). It is a unique number assigned to each radio channel, ranging from 0 to 262143. The EARFCN value determines the exact frequency of the carrier wave for both transmission directions, utilizing specific equations that incorporate offset values and low-frequency references as outlined in Table 5.7.3-1.",Parameter,3GPP TS 36.101
"a contractual relationship with the MNO to provide service the M2ME(s). M2ME : A M2ME is a device equipped for Machine To Machine Communication, which communicates through a PLMN. M2ME identity: A permanent private identity that uniquely identifies each M2M Equipment. The M2ME identity is installed in the M2ME by the supplier. The M2ME identity follows the same format as the IMEI. Provisional Connectivity ID (PCID): A temporary private identity that identifies each M2ME. The PCID, where required, should be installed in the M2ME by the supplier in order to allow the M2ME to register in a 3GPP network without being associated yet with any specific future selected home operator. The PCID follows the same format as the IMSI. TRE identity: A permanent private identity that uniquely identifies each Trusted Environment. The TRE identity is installed in the TRE by the TRE supplier in order to be able to identify the TRE during provisioning of MCIMs.",M2ME,"M2ME refers to a device equipped for Machine To Machine Communication, which communicates through a Public Land Mobile Network (PLMN). It is uniquely identified by an M2ME identity, similar in format to the International Mobile Equipment Identity (IMEI), and may also be provisioned with a temporary Provisional Connectivity ID (PCID) for registration purposes.",Device,3GPP TS 33.812
"the handover is shown as (S) V-UPF and the V-UPF used after the handover is shown as (T) V-UPF. The numbers 1, 2, 3, 4, 5, 6, 7. 8, 8-a, 8-b, 8-c correspond to the TEID (1), TEID (2), TEID (3), TEID (4), TEID (5), TEID (6), TEID (7), TEID (8), TEID (8a), TEID (8b) and TEID (8c) respectively. DL Data forwarding UP packet flow is shown in blue, the UL and DL UP packet flows are shown in dark (pre-handover) and red (post-handover). The TEID (1) is the tunnel end point identifier at S (V-UPF) and the TEID (3) is the tunnel end point identifier at H-UPF for UL UP packets. TEID (2) is the tunnel end point identifier at (source) NG-RAN and the TEID (4) is the tunnel end point identifier at the S (V-UPF) for the DL UP packets. The TEID (8a) is the tunnel end point identifier at the (target) NG-RAN for the DL data forwarded UP packets. The TEID (8b) is the tunnel end point identifier at the T (V-UPF) for the DL data forwarded UP packets. The TEID (8c) is the tunnel end point identifier at the",TEID,"The Tunnel Endpoint Identifier (TEID) is a critical network attribute used to identify the endpoint of a tunnel in the 5G core network, specifically in the context of handovers and data forwarding. It ensures proper routing and delivery of packets between different network functions.",Parameter,3GPP TS 33.929
"This message is only sent in the direction UE to SS. where message type is: And where NR Sidelink PSCCH Packet Counter(s) Value is: And where NR Sidelink PSCCH Packet Counter(s) Value type is: And where NR Sidelink PSCCH Packet Counter IE #n is: D31..D0 = PSCCH packet counter 0.. 4294967295 (binary coded, D31 is most significant bit and D0 least significant bit) corresponding to PSCCH_PACKET_COUNTER(SL_ID = n). And where NR Sidelink STCH Packet Counter(s) Value is: where NR Sidelink STCH Packet Counter(s) Value type is: And where NR Sidelink STCH Packet Counter IE #n is: E31..E0 = STCH Packet Counter value 0.. 4294967295 (binary coded, E31 is most significant bit and E0 least significant bit) corresponding to STCH_PACKET_COUNTER(SL_ID = n). And where NR Sidelink PSSCH Packet Counter(s) Value is: And where NR Sidelink PSSCH Packet Counter(s) Value type is: And where NR Sidelink PSSCH Packet Counter IE #n is: F31..F0 = PSSCH packet counter 0.. 4294967295 (binary coded, F31 is most",STCH,The Sidelink Traffic Channel (STCH) is a type of connection used for sidelink communication in the 5G network. It is responsible for carrying user data between User Equipment (UEs) in a sidelink scenario.,Connection,3GPP TS 38.509
"the WebRTC IMS Client is required to include the indication ""e2ae-security requested by UE"" in every offer it creates. It is assumed that the eP-CSCF is aware of the fact the IMS UE is a WebRTC IMS Client and automatically applies e2ae security for terminating calls. Therefore, unlike the existing e2ae security for RTP and MSRP, there is no need for the IMS UE to explicitly indicate support of e2ae security during registration. NOTE 1: Two DTLS-SRTP handshakes are needed if RTP and RTCP are sent over separate transport flows. If RTP/RTCP multiplexing is used, only a single DTLS-SRTP handshake is needed. NOTE 2: In this release, DTLS-SRTP is only intended to be used by WebRTC IMS Clients. Use of DTLS-SRTP by other types of IMS UEs may be studied in future releases. The DTLS-SRTP profile to use is described in Annex B of this document. Figure 6.2.1.2-1: E2ae protection of RTP based on DTLS-SRTP",DTLS-SRTP,"DTLS-SRTP (Datagram Transport Layer Security - Secure Real-time Transport Protocol) is a protocol used for securing real-time communications, such as voice and video calls. It is an extension of the DTLS protocol to establish keys for SRTP, providing end-to-end encryption for RTP traffic.",Protocol,3GPP TS 33.871
"transmission (including any interruption due to uplink or downlink RF retuning time) in a carrier without PUSCH/PUCCH, the resource elements in the second-to-last SC-FDMA symbol shall be counted in the PUSCH mapping but not used for transmission of PUSCH. For a UE configured with PUSCH Mode 1, if DCI indicates PUSCH mode 1 enabled and the corresponding transmission of PUSCH starts in the second slot of a subframe, the resource elements in the first slot of the subframe shall be counted in the PUSCH mapping but not used for transmission of PUSCH. For a UE configured with autonomous uplink, - if the UE indicates PUSCH ending symbol '1' in uplink control information, or endingSymbolAUL is set to '12', the resource elements in the last SC-FDMA symbol shall be counted in the PUSCH mapping but not used for transmission of PUSCH; - if the UE indicates PUSCH starting symbol '1' in uplink control information, the resource elements in the first SC-FDMA symbol shall be counted in the PUSCH",PUSCH,"The Physical Uplink Shared Channel (PUSCH) is a channel used for uplink data transmission in LTE and 5G networks. It carries user data from the User Equipment (UE) to the base station. The PUSCH mapping defines how resource elements are allocated for PUSCH transmission, considering factors like RF retuning time, DCI indications, and UE configurations.",Connection,TS 36.211
"conditions such as temperature and humidity at the site level are monitored and reported. According to the energy efficiency control policy and the current status, energy efficiency control operations are activated/deactivated in each of the EE optimisation entities. The embedded energy metering function in each EE optimisation entity collects the necessary statistics such as EE KPI and QoS/QoE and then report the information to the EE Profiles Management. The energy efficiency optimisation entity can be a logical or physical component to execute the EE policies and the corresponding energy consumption optimisation operations. - EE Profiles Management: monitors, collects, processes, stores and provides EE related information and statistics including the profiles for traffic, operating conditions, the corresponding achievable EE KPI, the variations of QoS/QoE in reference to the pre-fined QoS/QoE requirements from the embedded energy metering functions in each of the EE optimisation",EE,"The Energy Efficiency (EE) Profiles Management is a network function responsible for monitoring, collecting, processing, storing, and providing energy efficiency related information and statistics. It plays a crucial role in managing energy consumption within the network by executing EE policies and optimizing operations based on collected data.",Network Function,3GPP TS 32.972
"band Tx-Rx isolation for the triplexers 40dB Tx rejection in the other DL band 10dB antenna couplingf 4dB post PA losses Transmitter noise floor of -125dBm/Hz. Based on these assumptions, the MSD with MRC combining is calculated in Table 5.4.3.5-3. Table 5.4.3.5-3: MRC calculations for band n5 and n105 Cross-band MSD. 1UL cross-band MSD for CA_n5-n105 is proposed in Table 5.4.3.5-4. Table 5.4.3.5-4: CA_n5-n105 1UL cross-band MSD By referring to contribution [9], one aspect that needs to be pointed out is that n105 is a recently standardised band, with very challenging frequency arrangements from RF filtering point of view. Hence, especially given the band is new and implementations are just under development, we donât see it possible to optimize the CA characteristics at the expense of attenuation at US CH36 and n105 TX/RX isolations. Please note that the numbers are not derived from dedicated triplexers, but instead from what can be achieved by matching DPX and RX filters together,",MRC,"Maximum Ratio Combining (MRC) is a signal processing technique used to enhance the quality of received signals by optimally combining multiple signals. It is particularly beneficial in 5G networks, where it improves receiver performance.",Parameter,3GPP TS 38.872
"to the H-OCS according to the triggers set and to quota depletion. When such a request reaches H-OCS with USU, the accumulated usage is counted and compared with the subscriber threshold. 7. If the threshold was not met, than the standard quota is allocated in the GSU, and the service is allowed to continue. 8. Additional CCR[Update] increase the accumulated usage. At one point the accumulated usage reaches the subscribed threshold. 9. In case the threshold was reached, the CCA will contain a FUI (Final-Unit-Indication) for that service, and the GSU will contain only the delta between the threshold limit and the actual consumed data. The FUI may contain the specific ACTION expected, and the additional information required for that action. 10.The final granted quota is depleted. 11. Upon depletion of final quota, the PCEF activates the indicated action. If the directive is 'Terminate', than upon depleting the last quota, the PCEF blocks the data traffic of the service. If the directive",FUI,Final-Unit-Indication (FUI) is a message element that indicates the final unit of quota allocated to a subscriber for a specific service. It contains information about the action expected when the threshold limit is reached and additional details required for that action.,Message,3GPP TS 32.843
